relevance,shrink_mode,lambda,ROC AUC,replication
20,hs_entropy,1.0,0.5307578545669522,2
20,hs_entropy,10.0,0.5647799900265204,2
20,hs_entropy,25.0,0.608199081032337,2
20,hs_entropy,50.0,0.6626061859586165,2
20,hs_entropy,100.0,0.6898218885617968,2
20,hs_log_cardinality,0.0,0.5307578545669522,2
20,hs_log_cardinality,0.1,0.5307578545669522,2
20,hs_log_cardinality,1.0,0.5307578545669522,2
20,hs_log_cardinality,10.0,0.5626843130460507,2
20,hs_log_cardinality,25.0,0.6120036068002213,2
20,hs_log_cardinality,50.0,0.6682191173256012,2
20,hs_log_cardinality,100.0,0.6965460957075214,2
20,hs_permutation,0.0,0.5307578545669522,2
20,hs_permutation,0.1,0.5727764403468824,2
20,hs_permutation,1.0,0.5744155033778833,2
20,hs_permutation,10.0,0.6264423461234755,2
20,hs_permutation,25.0,0.6398581686488651,2
20,hs_permutation,50.0,0.6662168536481765,2
20,hs_permutation,100.0,0.6846938903870676,2
20,hs_global_permutation,0.0,0.5307578545669522,2
20,hs_global_permutation,0.1,0.5470233754574817,2
20,hs_global_permutation,1.0,0.562046534183174,2
20,hs_global_permutation,10.0,0.610622240106375,2
20,hs_global_permutation,25.0,0.6565686004596099,2
20,hs_global_permutation,50.0,0.6752183826705404,2
20,hs_global_permutation,100.0,0.6827636763102687,2
00,hs,0.0,0.4719440834632482,3
00,hs,0.1,0.4719440834632482,3
00,hs,1.0,0.4719440834632482,3
00,hs,10.0,0.4683177177046045,3
00,hs,25.0,0.4745186768331952,3
00,hs,50.0,0.4814778530305405,3
00,hs,100.0,0.4920965653746069,3
00,hs_entropy,0.0,0.4719440834632482,3
00,hs_entropy,0.1,0.4719440834632482,3
00,hs_entropy,1.0,0.4719440834632482,3
00,hs_entropy,10.0,0.4678092185339908,3
00,hs_entropy,25.0,0.4713767068833977,3
00,hs_entropy,50.0,0.48851898945699934,3
00,hs_entropy,100.0,0.49436905735881503,3
00,hs_log_cardinality,0.0,0.4719440834632482,3
00,hs_log_cardinality,0.1,0.4719440834632482,3
00,hs_log_cardinality,1.0,0.4719440834632482,3
00,hs_log_cardinality,10.0,0.4707058320484533,3
00,hs_log_cardinality,25.0,0.4704991564411105,3
00,hs_log_cardinality,50.0,0.48223502032274174,3
00,hs_log_cardinality,100.0,0.4949228487679146,3
00,hs_permutation,0.0,0.4719440834632482,3
00,hs_permutation,0.1,0.4833401392140969,3
00,hs_permutation,1.0,0.48394127679896054,3
00,hs_permutation,10.0,0.4857267191117556,3
00,hs_permutation,25.0,0.49767787973759353,3
00,hs_permutation,50.0,0.5045968743905389,3
00,hs_permutation,100.0,0.4938573826149078,3
00,hs_global_permutation,0.0,0.4719440834632482,3
00,hs_global_permutation,0.1,0.473581926931817,3
00,hs_global_permutation,1.0,0.4766344362713326,3
00,hs_global_permutation,10.0,0.485653156900767,3
00,hs_global_permutation,25.0,0.4867923721396821,3
00,hs_global_permutation,50.0,0.49832269590959166,3
00,hs_global_permutation,100.0,0.5093728876092471,3
05,hs,0.0,0.5237994353263313,3
05,hs,0.1,0.5237994353263313,3
05,hs,1.0,0.5237994353263313,3
05,hs,10.0,0.5267775075721628,3
05,hs,25.0,0.5210375059923295,3
05,hs,50.0,0.5200480604051887,3
05,hs,100.0,0.519327746437454,3
05,hs_entropy,0.0,0.5237994353263313,3
05,hs_entropy,0.1,0.5237994353263313,3
05,hs_entropy,1.0,0.5237994353263313,3
05,hs_entropy,10.0,0.5265224670124835,3
05,hs_entropy,25.0,0.5263589379648652,3
05,hs_entropy,50.0,0.5317200599088984,3
05,hs_entropy,100.0,0.5485409096181619,3
